Ngày;MKH;Tên Tắt;DD chính;Lộ điểm đo;SL BT;SL CD;SL TD;Tổng SL;Tiền BT;Tiền CD;Tiền TD;Tiền trước thuế;Tiền sau thuế;Phạt Q Trc Thuế;Phạt Q sau thuế;Ngày thanh toán
11/02/2023;EVN-TH;EVN-TH;2046008583;TH484 E11.9;0;0;0;0;0;0;0;0;0;0;0;16/02/2023
11/02/2023;EVN-TH;EVN-TH;2046008580;TH486 E11.9;0;0;0;0;0;0;0;0;0;0;0;16/02/2023
16/02/2023;KCNTH-002;TH-Asahi;2210575757;TH486 E11.9;0;0;0;0;0;0;0;0;0;0;0;21/02/2023
20/02/2023;EVN-TH;EVN-TH;2046008583;TH484 E11.9;0;0;0;0;0;0;0;0;0;0;0;25/02/2023
20/02/2023;EVN-TH;EVN-TH;2046008580;TH486 E11.9;0;0;-418;-418;0;0;-413402;-413402;-454742,2;0;0;25/02/2023
20/02/2023;KCNTH-002;TH-Asahi;2210575757;TH486 E11.9;12;6;0;18;20220;18456;0;38676;38676;0;0;25/02/2023
28/02/2023;EVN-TH;EVN-TH;2046008580;TH486 E11.9;-418;-418;0;-836;-637868;-1177506;0;-1815374;-1996911,4;0;0;05/03/2023
28/02/2023;EVN-TH;EVN-TH;2046008583;TH484 E11.9;0;0;0;0;0;0;0;0;0;0;0;05/03/2023
28/02/2023;KCNTH-001;TH-BQL;2210575660;TH486 E11.9;0;0;0;0;0;0;0;0;0;0;0;05/03/2023
28/02/2023;KCNTH-002;TH-Asahi;2210575757;TH486 E11.9;102;36;36;174;171870;110736;39600;322206;322206;0;0;05/03/2023
10/03/2023;EVN-TH;EVN-TH;2046008580;TH486 E11.9;-836;-418;0;-1254;-1275736;-1177506;0;-2453242;-2698566,2;0;0;15/03/2023
10/03/2023;EVN-TH;EVN-TH;2046008583;TH484 E11.9;0;0;0;0;0;0;0;0;0;0;0;15/03/2023
10/03/2023;KCNTH-002;TH-Asahi;2210575757;TH486 E11.9;798;300;114;1212;1344630;922800;125400;2392830;2392830;0;0;15/03/2023
20/03/2023;EVN-TH;EVN-TH;2046008580;TH486 E11.9;-8364;-2927;-2927;-14218;-12763464;-8245359;-2894803;-23903626;-26293988,6;0;0;25/03/2023
20/03/2023;EVN-TH;EVN-TH;2046008583;TH484 E11.9;0;0;0;0;0;0;0;0;0;0;0;25/03/2023
20/03/2023;KCNTH-002;TH-Asahi;2210575757;TH486 E11.9;6954;2490;2430;11874;11717490;7659240;2673000;22049730;22049730;0;0;25/03/2023
31/03/2023;EVN-TH;EVN-TH;2046008580;TH486 E11.9;-12127;-4600;-4600;-21327;-18505802;-12958200;-4549400;-36013402;-39614742,2;0;0;05/04/2023
31/03/2023;EVN-TH;EVN-TH;2046008583;TH484 E11.9;0;0;0;0;0;0;0;0;0;0;0;05/04/2023
31/03/2023;KCNTH-001;TH-BQL;2210575660;TH486 E11.9;1768;779;507;3054;2979080;2396204;557700;5932984;6526282,4;0;0;05/04/2023
31/03/2023;KCNTH-002;TH-Asahi;2210575757;TH486 E11.9;11568;4392;4308;20268;19492080;13509792;4738800;37740672;37740672;0;0;05/04/2023
01/04/2023;EVN-TH;EVN-TH;2110155910;TH476 E11.9;0;0;0;0;0;0;0;0;0;0;0;06/04/2023
01/04/2023;KCNTH-001;TH-BQL;2310068751;TH476 E11.9;0;0;0;0;0;0;0;0;0;0;0;06/04/2023
01/04/2023;KCNTH-001;TH-BQL;2310068799;TH486 E11.9;0;0;0;0;0;0;0;0;0;0;0;06/04/2023
08/04/2023;KCNTH-003;TH-Hợp Lực;2310068830;TH476 E11.9;0;0;0;0;0;0;0;0;0;0;0;13/04/2023
11/04/2023;KCNTH-002;TH-Asahi;2210575757;TH486 E11.9;5976;2166;1260;9402;10069560;6662616;1386000;18118176;18118176;0;0;16/04/2023
20/04/2023;KCNTH-002;TH-Asahi;2210575757;TH486 E11.9;6318;2334;996;9648;10645830;7179384;1095600;18920814;18920814;0;0;25/04/2023
20/04/2023;KCNTH-003;TH-Hợp Lực;2310068830;TH476 E11.9;1175;516;788;2479;1979875;1587216;866800;4433891;4877280,1;0;0;25/04/2023
28/04/2023;KCNTH-001;TH-BQL;2210575660;TH486 E11.9;2316;1024;747;4087;3902460;3149824;821700;7873984;8661382,4;0;0;03/05/2023
28/04/2023;KCNTH-001;TH-BQL;2310068751;TH476 E11.9;7;0;0;7;11795;0;0;11795;12974,5;0;0;03/05/2023
28/04/2023;KCNTH-001;TH-BQL;2310068799;TH486 E11.9;78;16;0;94;131430;49216;0;180646;198710,6;0;0;03/05/2023
28/04/2023;KCNTH-002;TH-Asahi;2210575757;TH486 E11.9;5790;2208;1050;9048;9756150;6791808;1155000;17702958;17702958;0;0;03/05/2023
28/04/2023;KCNTH-003;TH-Hợp Lực;2310068830;TH476 E11.9;952;424;636;2012;1604120;1304224;699600;3607944;3968738,4;0;0;03/05/2023
30/04/2023;EVN-TH;EVN-TH;2046008580;TH486 E11.9;-23836;-8782;-5018;-37636;-36373736;-24738894;-4962802;-66075432;-72682975,2;0;0;05/05/2023
30/04/2023;EVN-TH;EVN-TH;2046008583;TH484 E11.9;0;0;0;0;0;0;0;0;0;0;0;05/05/2023
30/04/2023;EVN-TH;EVN-TH;2110155910;TH476 E11.9;-2350;-1034;-1540;-4924;-3586100;-2912778;-1523060;-8021938;-8824131,8;0;0;05/05/2023
04/05/2023;EVN-TH;EVN-TH;2046008580;TH486 E11.9;-1255;-418;-418;-2091;-1915130;-1177506;-413402;-3506038;-3856641,8;0;0;09/05/2023
04/05/2023;EVN-TH;EVN-TH;2046008583;TH484 E11.9;0;0;0;0;0;0;0;0;0;0;0;09/05/2023
04/05/2023;EVN-TH;EVN-TH;2110155910;TH476 E11.9;-308;-88;-264;-660;-470008;-247896;-261096;-979000;-1076900;0;0;09/05/2023
04/05/2023;KCNTH-001;TH-BQL;2210575660;TH486 E11.9;437;193;176;806;736345;593668;193600;1523613;1675974,3;0;0;09/05/2023
04/05/2023;KCNTH-001;TH-BQL;2310068799;TH486 E11.9;0;0;0;0;0;0;0;0;0;0;0;09/05/2023
04/05/2023;KCNTH-001;TH-BQL;2310068751;TH476 E11.9;0;0;0;0;0;0;0;0;0;0;0;09/05/2023
04/05/2023;KCNTH-002;TH-Asahi;2210575757;TH486 E11.9;2748;984;600;4332;4630380;3026784;660000;8317164;8317164;0;0;09/05/2023
04/05/2023;KCNTH-003;TH-Hợp Lực;2310068830;TH476 E11.9;533;239;424;1196;898105;735164;466400;2099669;2309635,9;0;0;09/05/2023
10/05/2023;KCNTH-002;TH-Asahi;2210575757;TH486 E11.9;3528;1224;672;5424;6131664;3881304;761376;10774344;10774344;0;0;15/05/2023
10/05/2023;KCNTH-003;TH-Hợp Lực;2310068830;TH476 E11.9;678;210;474;1362;1178364;665910;537042;2381316;2619447,6;0;0;15/05/2023
20/05/2023;KCNTH-002;TH-Asahi;2210575757;TH486 E11.9;8964;3960;1266;14190;15579432;12557160;1434378;29570970;29570970;0;0;25/05/2023
20/05/2023;KCNTH-003;TH-Hợp Lực;2310068830;TH476 E11.9;1238;592;847;2677;2151644;1877232;959651;4988527;5487379,7;0;0;25/05/2023
31/05/2023;EVN-TH;EVN-TH;2046008580;TH486 E11.9;-28436;-12127;-5018;-45581;-44758264;-35204681;-5108324;-85071269;-93578395,9;0;0;05/06/2023
31/05/2023;EVN-TH;EVN-TH;2046008583;TH484 E11.9;0;0;0;0;0;0;0;0;0;0;0;05/06/2023
31/05/2023;EVN-TH;EVN-TH;2110155910;TH476 E11.9;-3916;-1760;-2288;-7964;-6163784;-5109280;-2329184;-13602248;-14962472,8;0;0;05/06/2023
31/05/2023;KCNTH-001;TH-BQL;2210575660;TH486 E11.9;3135;1408;971;5514;5448630;4464768;1100143;11013541;12114895,1;0;0;05/06/2023
31/05/2023;KCNTH-001;TH-BQL;2310068751;TH476 E11.9;0;0;0;0;0;0;0;0;0;0;0;05/06/2023
31/05/2023;KCNTH-001;TH-BQL;2310068799;TH486 E11.9;0;0;0;0;0;0;0;0;0;0;0;15/06/2023
31/05/2023;KCNTH-002;TH-Asahi;2210575757;TH486 E11.9;11118;4752;1524;17394;19323084;15068592;1726692;36118368;36118368;0;0;15/06/2023
31/05/2023;KCNTH-003;TH-Hợp Lực;2310068830;TH476 E11.9;1948;869;919;3736;3385624;2755599;1041227;7182450;7900695;0;0;25/06/2023
10/06/2023;KCNTH-002;TH-Asahi;2210575757;TH486 E11.9;13230;4866;1566;19662;22993740;15430086;1774278;40198104;40198104;0;0;25/06/2023
10/06/2023;KCNTH-003;TH-Hợp Lực;2310068830;TH476 E11.9;2852;1258;1165;5275;4956776;3989118;1319945;10265839;11292422,9;0;0;05/07/2023
20/06/2023;KCNTH-002;TH-Asahi;2210575757;TH486 E11.9;11910;4650;1764;18324;20699580;14745150;1998612;37443342;37443342;0;0;05/07/2023
20/06/2023;KCNTH-003;TH-Hợp Lực;2310068830;TH476 E11.9;4003;1283;1624;6910;6957214;4068393;1839992;12865599;14152158,9;0;0;05/07/2023
30/06/2023;EVN-TH;EVN-TH;2046008580;TH486 E11.9;-50600;-21327;-7109;-79036;-79644400;-61912281;-7236962;-148793643;-163673007,3;0;0;05/07/2023
30/06/2023;EVN-TH;EVN-TH;2046008583;TH484 E11.9;0;0;0;0;0;0;0;0;0;0;0;05/07/2023
30/06/2023;EVN-TH;EVN-TH;2110155910;TH476 E11.9;-11088;-3828;-4532;-19448;-17452512;-11112684;-4613576;-33178772;-36496649,2;0;0;05/07/2023
30/06/2023;KCNTH-001;TH-BQL;2210575660;TH486 E11.9;3725;1485;1096;6306;6474050;4708935;1241768;12424753;13667228,3;0;0;05/07/2023
30/06/2023;KCNTH-001;TH-BQL;2310068751;TH476 E11.9;0;0;0;0;0;0;0;0;0;0;0;05/07/2023
30/06/2023;KCNTH-001;TH-BQL;2310068799;TH486 E11.9;0;0;0;0;0;0;0;0;0;0;0;15/07/2023
30/06/2023;KCNTH-002;TH-Asahi;2210575757;TH486 E11.9;20274;9978;2262;32514;35236212;31640238;2562846;69439296;69439296;0;0;15/07/2023
30/06/2023;KCNTH-003;TH-Hợp Lực;2310068830;TH476 E11.9;4234;1285;1802;7321;7358692;4074735;2041666;13475093;14822602,3;0;0;20/07/2023
